h,r,t,is_real,score
CID000003958,C0000731,CID006398525,1,1.9904794692993164
CID000003869,C0000731,CID000004900,1,1.9724624156951904
CID000002083,C0000731,CID000004691,1,1.968820571899414
CID000003255,C0000731,CID000004594,1,1.966872215270996
CID000002662,C0000731,CID000003957,1,1.962908148765564
CID000002585,C0000731,CID000005650,1,1.9561309814453125
CID000002118,C0000731,CID000004900,1,1.9541382789611816
CID000003696,C0000731,CID000054454,1,1.9515583515167236
CID000003958,C0000731,CID000004691,1,1.9480559825897217
CID000002118,C0000731,CID000002269,1,1.9479095935821533
CID000002895,C0000731,CID000004585,1,1.9445488452911377
CID000003161,C0000731,CID000123620,1,1.9342906475067139
CID000004253,C0000731,CID000004900,1,1.9339559078216553
CID000005533,C0000731,CID000005732,1,1.929925799369812
CID000002118,C0000731,CID000004594,1,1.9224392175674438
CID000003958,C0000731,CID000005732,1,1.9173458814620972
CID000003121,C0000731,CID000005732,1,1.9120311737060547
CID000005005,C0000731,CID000062924,1,1.9098180532455444
CID000003958,C0000731,CID000005064,1,1.9037184715270996
CID000002083,C0000731,CID000062924,1,1.8950575590133667
CID000002088,C0000731,CID000002267,1,1.8881111145019531
CID000002269,C0000731,CID000060865,1,1.8870270252227783
CID000005358,C0000731,CID000124087,1,1.8857619762420654
CID000005203,C0000731,CID000005656,1,1.8775485754013062
CID000002250,C0000731,CID000005152,1,1.872185468673706
CID000003890,C0000731,CID000005090,1,1.8717453479766846
CID000002520,C0000731,CID000004900,1,1.8693903684616089
CID000002520,C0000731,CID000119607,1,1.868117094039917
CID000003121,C0000731,CID000004635,1,1.8648189306259155
CID000004107,C0000731,CID000123620,1,1.8590466976165771
CID000003446,C0000731,CID000004594,1,1.8577309846878052
CID000003883,C0000731,CID000005379,1,1.857670545578003
CID000004168,C0000731,CID000005487,1,1.8559165000915527
CID000004635,C0000731,CID000004946,1,1.8551809787750244
CID000002083,C0000731,CID000005002,1,1.8545312881469727
CID000004679,C0000731,CID000005514,1,1.8544397354125977
CID000004171,C0000731,CID003002190,1,1.8538697957992554
CID000002678,C0000731,CID000005731,1,1.8444263935089111
CID000004900,C0000731,CID000054454,1,1.844000220298767
CID000003222,C0000731,CID000005212,1,1.8406245708465576
CID000002083,C0000731,CID000005212,1,1.8403295278549194
CID000003325,C0000731,CID000005732,1,1.8328444957733154
CID000003161,C0000731,CID000005656,1,1.8323441743850708
CID000003161,C0000731,CID000054688,1,1.8299261331558228
CID000004058,C0000731,CID000004594,1,1.8256466388702393
CID000002771,C0000731,CID000004595,1,1.8242087364196777
CID000000450,C0000731,CID000004691,1,1.8214125633239746
CID000004583,C0000731,CID000004635,1,1.8069353103637695
CID000002520,C0000731,CID000003446,1,1.8029367923736572
CID000002083,C0000731,CID000028112,1,1.8009443283081055
CID000005203,C0000731,CID000005732,1,1.7933850288391113
CID000004927,C0000731,CID000054688,1,1.790722370147705
CID000004635,C0000731,CID000005732,1,1.7901363372802734
CID000004259,C0000731,CID000004594,1,1.7889647483825684
CID000003957,C0000731,CID000060831,1,1.7888426780700684
CID000004034,C0000731,CID000004900,1,1.7879788875579834
CID000005029,C0000731,CID000005379,1,1.7835566997528076
CID000005090,C0000731,CID000062924,1,1.7828054428100586
CID000003386,C0000731,CID000005391,1,1.7824296951293945
CID000002267,C0000731,CID000003348,1,1.7811945676803589
CID000005002,C0000731,CID000005523,1,1.781123161315918
CID000002153,C0000731,CID000002764,1,1.7803223133087158
CID000005039,C0000731,CID000123620,1,1.7766504287719727
CID000002666,C0000731,CID000123620,1,1.7755019664764404
CID000003961,C0000731,CID000004927,1,1.774660348892212
CID000003883,C0000731,CID005311297,1,1.7745208740234375
CID000003957,C0000731,CID000004873,1,1.7705632448196411
CID000005544,C0000731,CID003468412,1,1.770540714263916
CID000000444,C0000731,CID000002269,1,1.768304705619812
CID000003386,C0000731,CID000005523,1,1.767115831375122
CID000002088,C0000731,CID000002477,1,1.7642403841018677
CID000004595,C0000731,CID000005064,1,1.7617002725601196
CID000001690,C0000731,CID000003003,1,1.758126974105835
CID000000444,C0000731,CID000004889,1,1.7539870738983154
CID000004510,C0000731,CID000027661,1,1.7527292966842651
CID000003639,C0000731,CID000004920,1,1.7518603801727295
CID000004449,C0000731,CID000004585,1,1.750915765762329
CID000004449,C0000731,CID000004691,1,1.750352382659912
CID000004594,C0000731,CID000005732,1,1.7450028657913208
CID000002662,C0000731,CID000004900,1,1.7393585443496704
CID000001983,C0000731,CID000005029,1,1.7342413663864136
CID000003222,C0000731,CID000004873,1,1.7307980060577393
CID000003062,C0000731,CID000003446,1,1.726859211921692
CID000002678,C0000731,CID000004691,1,1.7261500358581543
CID000003161,C0000731,CID000003672,1,1.7252583503723145
CID000005523,C0000731,CID000005732,1,1.723562240600586
CID000004691,C0000731,CID000054454,1,1.714637279510498
CID000003016,C0000731,CID000005203,1,1.7068074941635132
CID000004635,C0000731,CID003468412,1,1.7049646377563477
CID000002666,C0000731,CID000004873,1,1.7043776512145996
CID000004159,C0000731,CID000028112,1,1.7028772830963135
CID000000450,C0000731,CID000004927,1,1.702476978302002
CID000002554,C0000731,CID000004927,1,1.7007554769515991
CID000003222,C0000731,CID000005005,1,1.6987793445587158
CID000002520,C0000731,CID000004594,1,1.69704270362854
CID000002083,C0000731,CID000083786,1,1.6953282356262207
CID000002083,C0000731,CID000004510,1,1.6934841871261597
CID000004679,C0000731,CID000054688,0,1.6913402080535889
CID000003365,C0000731,CID000005267,1,1.6849091053009033
CID000003365,C0000731,CID000005538,1,1.684891700744629
CID000003345,C0000731,CID000005391,1,1.682122826576233
CID000003325,C0000731,CID000005152,1,1.6804203987121582
CID000002895,C0000731,CID000006691,1,1.6782464981079102
CID000004170,C0000731,CID000005512,1,1.6757533550262451
CID000002250,C0000731,CID000005391,1,1.671431064605713
CID000002895,C0000731,CID000005731,1,1.6679961681365967
CID000003446,C0000731,CID000005376,1,1.6674082279205322
CID000002666,C0000731,CID000004595,1,1.6661572456359863
CID000003121,C0000731,CID000004594,1,1.6624693870544434
CID000003961,C0000731,CID000054688,1,1.6602299213409424
CID000005379,C0000731,CID000005538,1,1.6595404148101807
CID000002803,C0000731,CID000005656,1,1.6586921215057373
CID000003639,C0000731,CID000004205,1,1.658087968826294
CID000004691,C0000731,CID000150311,1,1.6579315662384033
CID000001302,C0000731,CID000062924,1,1.6534335613250732
CID000004044,C0000731,CID000004583,1,1.6527366638183594
CID000002771,C0000731,CID000004691,1,1.6518490314483643
CID000002160,C0000731,CID000003749,1,1.6472368240356445
CID000002153,C0000731,CID000002678,1,1.640064001083374
CID000003325,C0000731,CID000005073,1,1.6387842893600464
CID000003639,C0000731,CID000005408,1,1.6361688375473022
CID000004259,C0000731,CID000005039,1,1.633281946182251
CID000004594,C0000731,CID000005514,1,1.6294184923171997
CID000002250,C0000731,CID000004893,1,1.6279032230377197
CID000002771,C0000731,CID000005394,1,1.625321388244629
CID000003308,C0000731,CID000003672,1,1.6181730031967163
CID000003348,C0000731,CID000005002,1,1.616849422454834
CID000002083,C0000731,CID000005538,1,1.6114501953125
CID000003961,C0000731,CID000004449,1,1.6113975048065186
CID000002802,C0000731,CID000005002,1,1.610551357269287
CID000002088,C0000731,CID000004635,1,1.6083805561065674
CID000005267,C0000731,CID000083786,1,1.6066641807556152
CID000004635,C0000731,CID000005358,1,1.6063244342803955
CID000000143,C0000731,CID000003365,1,1.6061840057373047
CID000001302,C0000731,CID000003958,1,1.6022834777832031
CID000003143,C0000731,CID000006691,1,1.601597547531128
CID000004583,C0000731,CID000060835,1,1.599927306175232
CID000003883,C0000731,CID000005401,1,1.5984477996826172
CID000002803,C0000731,CID000005002,1,1.5961474180221558
CID000000450,C0000731,CID000003883,1,1.58687162399292
CID000003016,C0000731,CID000005212,1,1.582841157913208
CID000003937,C0000731,CID000005267,1,1.5823637247085571
CID000003339,C0000731,CID000003958,1,1.5821235179901123
CID000003446,C0000731,CID000004900,1,1.5816222429275513
CID000002171,C0000731,CID000005152,1,1.580132007598877
CID000003386,C0000731,CID000123620,1,1.5785408020019531
CID000003339,C0000731,CID000123620,1,1.5776910781860352
CID000002162,C0000731,CID000003957,1,1.5745670795440674
CID000004107,C0000731,CID000004594,1,1.57161283493042
CID000003954,C0000731,CID000005267,1,1.5681214332580566
CID000003016,C0000731,CID000062924,1,1.5653276443481445
CID000003403,C0000731,CID000083786,0,1.5636850595474243
CID000004635,C0000731,CID000004900,1,1.5557204484939575
CID000003348,C0000731,CID000054688,1,1.5503041744232178
CID000002477,C0000731,CID000005002,1,1.5485846996307373
CID000004585,C0000731,CID005311297,1,1.5455758571624756
CID000004253,C0000731,CID000062924,1,1.5435326099395752
CID000002088,C0000731,CID000002771,1,1.5331348180770874
CID000003016,C0000731,CID000005002,1,1.5326440334320068
CID000002662,C0000731,CID000004595,1,1.5322601795196533
CID000003325,C0000731,CID000003957,1,1.5275222063064575
CID000003899,C0000731,CID000054688,1,1.5228779315948486
CID000004927,C0000731,CID003468412,1,1.521885633468628
CID000003158,C0000731,CID000004691,1,1.521254539489746
CID000004510,C0000731,CID000005650,1,1.519623875617981
CID000003003,C0000731,CID000123620,1,1.5137042999267578
CID000002520,C0000731,CID000004171,1,1.5123119354248047
CID000002803,C0000731,CID000170361,1,1.5109723806381226
CID000002477,C0000731,CID000002895,1,1.5010812282562256
CID000054688,C0000731,CID003468412,1,1.499072551727295
CID000003121,C0000731,CID000004691,1,1.498351812362671
CID000002554,C0000731,CID000028112,1,1.4976682662963867
CID000002764,C0000731,CID000004635,1,1.4969887733459473
CID000002806,C0000731,CID000062924,1,1.4964160919189453
CID000002678,C0000731,CID000004946,1,1.4952006340026855
CID000004583,C0000731,CID000005035,1,1.4951329231262207
CID000004205,C0000731,CID000004894,1,1.4921430349349976
CID000001302,C0000731,CID000005650,1,1.491037368774414
CID000003746,C0000731,CID000004159,1,1.4908217191696167
CID000003386,C0000731,CID000004513,1,1.4899365901947021
CID000002678,C0000731,CID000005523,1,1.4861266613006592
CID000005039,C0000731,CID006447131,1,1.4849458932876587
CID000002806,C0000731,CID000038904,1,1.4819297790527344
CID000002812,C0000731,CID000004900,1,1.479986310005188
CID000004909,C0000731,CID000005391,1,1.4771308898925781
CID000004253,C0000731,CID000004946,1,1.4761488437652588
CID000002162,C0000731,CID000028112,1,1.4741783142089844
CID000003658,C0000731,CID005487301,0,1.4676389694213867
CID000003890,C0000731,CID000005029,1,1.4656093120574951
CID000004107,C0000731,CID000004585,1,1.4618247747421265
CID000002171,C0000731,CID000119607,1,1.4559638500213623
CID000002250,C0000731,CID000003883,1,1.4551335573196411
CID000002678,C0000731,CID000005073,1,1.4529309272766113
CID000003016,C0000731,CID000004674,1,1.4513626098632812
CID000003957,C0000731,CID000005029,1,1.4505140781402588
CID000004894,C0000731,CID000054688,1,1.4496538639068604
CID000003003,C0000731,CID000003639,1,1.4476373195648193
CID000002576,C0000731,CID005311297,1,1.4460160732269287
CID000001302,C0000731,CID000003386,1,1.4430583715438843
CID000002803,C0000731,CID000003446,1,1.442917823791504
CID000002284,C0000731,CID000002803,1,1.4393880367279053
CID000002585,C0000731,CID000005267,1,1.437985897064209
CID000003510,C0000731,CID000038904,1,1.4379621744155884
CID000001302,C0000731,CID000005379,1,1.4373326301574707
CID000001302,C0000731,CID000005267,1,1.43484365940094
CID000002802,C0000731,CID000003559,1,1.433103084564209
CID000003121,C0000731,CID000003559,1,1.4330098628997803
CID000000853,C0000731,CID000004510,1,1.4306796789169312
CID000005064,C0000731,CID000005650,1,1.427852749824524
CID000002083,C0000731,CID000003405,1,1.4277215003967285
CID000002083,C0000731,CID000003325,1,1.4272189140319824
CID000003325,C0000731,CID000004889,1,1.4246013164520264
CID000000450,C0000731,CID000003961,1,1.423619031906128
CID000002658,C0000731,CID000004927,1,1.4216729402542114
CID000000444,C0000731,CID000003883,1,1.4215087890625
CID000004411,C0000731,CID000005267,1,1.4209038019180298
CID000005073,C0000731,CID000005523,1,1.4204397201538086
CID000002895,C0000731,CID000005035,1,1.4192426204681396
CID000003478,C0000731,CID000004170,1,1.419144630432129
CID000002806,C0000731,CID000005544,1,1.4176092147827148
CID000003121,C0000731,CID000005358,1,1.416848063468933
CID000004927,C0000731,CID000005358,1,1.4162288904190063
CID000003899,C0000731,CID000004679,1,1.4152240753173828
CID000002118,C0000731,CID000004885,1,1.4125947952270508
CID000004052,C0000731,CID000004946,1,1.4110937118530273
CID000005090,C0000731,CID000005203,1,1.41056227684021
CID000002678,C0000731,CID000003957,1,1.408226490020752
CID000001983,C0000731,CID000004173,1,1.405804991722107
CID000001983,C0000731,CID000006691,1,1.4001473188400269
CID000003348,C0000731,CID000005735,1,1.3993797302246094
CID000004253,C0000731,CID000005358,1,1.394153118133545
CID000004052,C0000731,CID000005245,1,1.393527626991272
CID000004411,C0000731,CID000004889,1,1.39167320728302
CID000003648,C0000731,CID000004666,1,1.3915883302688599
CID000004485,C0000731,CID000005291,1,1.391486406326294
CID000005002,C0000731,CID000005039,1,1.3892614841461182
CID000004691,C0000731,CID000005426,1,1.3883326053619385
CID000024486,C0000731,CID000125889,1,1.3856618404388428
CID000000450,C0000731,CID000002083,1,1.384838342666626
CID000003652,C0000731,CID000077999,1,1.3821048736572266
CID000001302,C0000731,CID000004635,1,1.3803770542144775
CID000004873,C0000731,CID000005514,1,1.376081943511963
CID000027661,C0000731,CID000060147,1,1.3733339309692383
CID000003478,C0000731,CID006398525,1,1.3731181621551514
CID000004173,C0000731,CID000054454,1,1.3728784322738647
CID000004205,C0000731,CID000005035,1,1.37216317653656
CID000003345,C0000731,CID000003746,1,1.3707441091537476
CID000002088,C0000731,CID000003148,1,1.3681529760360718
CID000002083,C0000731,CID000002249,1,1.364546537399292
CID000002802,C0000731,CID000004171,1,1.3626277446746826
CID000003883,C0000731,CID000027661,1,1.3615283966064453
CID000002267,C0000731,CID000005039,1,1.3613786697387695
CID000004595,C0000731,CID000005978,1,1.3586997985839844
CID000002249,C0000731,CID000002311,1,1.358215570449829
CID000004900,C0000731,CID000060835,1,1.3573417663574219
CID000004889,C0000731,CID000125889,1,1.3538401126861572
CID000003386,C0000731,CID000003672,1,1.35355806350708
CID000004171,C0000731,CID000005372,1,1.3527476787567139
CID000004253,C0000731,CID000054374,1,1.3525902032852173
CID000004510,C0000731,CID005311297,1,1.3444875478744507
CID000004091,C0000731,CID000004205,0,1.3434967994689941
CID000003672,C0000731,CID000027661,1,1.3432807922363281
CID000004900,C0000731,CID000019090,1,1.3415390253067017
CID000005650,C0000731,CID000060147,1,1.3404864072799683
CID000002678,C0000731,CID000004044,1,1.339598536491394
CID000003467,C0000731,CID000004917,1,1.3385882377624512
CID000003121,C0000731,CID000003672,1,1.337945580482483
CID000001302,C0000731,CID000004173,1,1.3376754522323608
CID000002477,C0000731,CID000004205,1,1.3356683254241943
CID000002088,C0000731,CID000003385,1,1.3352293968200684
CID000004594,C0000731,CID000150311,1,1.3346428871154785
CID000005203,C0000731,CID000054688,1,1.333650827407837
CID000000853,C0000731,CID000005005,1,1.3320043087005615
CID000004889,C0000731,CID000060835,1,1.3317255973815918
CID000002311,C0000731,CID000054454,1,1.3308696746826172
CID000002160,C0000731,CID000004173,1,1.3308080434799194
CID000004052,C0000731,CID000004927,1,1.3260612487792969
CID000005073,C0000731,CID000005514,1,1.3256620168685913
CID000002803,C0000731,CID000060854,1,1.3243341445922852
CID000003877,C0000731,CID000004894,0,1.3230054378509521
CID000005029,C0000731,CID000054454,1,1.3206508159637451
CID000004253,C0000731,CID000005212,1,1.320632815361023
CID000001978,C0000731,CID000002250,1,1.3199920654296875
CID000002088,C0000731,CID000003154,0,1.319398283958435
CID000003883,C0000731,CID000004170,1,1.3186864852905273
CID000000450,C0000731,CID000002662,1,1.3182575702667236
CID000003075,C0000731,CID000060795,1,1.3176071643829346
CID000002585,C0000731,CID000005040,1,1.3036885261535645
CID000003405,C0000731,CID000004253,1,1.3017072677612305
CID000002803,C0000731,CID000176168,1,1.300645351409912
CID000002726,C0000731,CID000004585,1,1.3004907369613647
CID000002541,C0000731,CID000005029,1,1.3003427982330322
CID000001302,C0000731,CID000002162,1,1.299575686454773
CID000004236,C0000731,CID000004946,1,1.2966557741165161
CID000004253,C0000731,CID000093860,1,1.2952163219451904
CID000003958,C0000731,CID000027661,1,1.2945445775985718
CID000002249,C0000731,CID000003325,1,1.2901123762130737
CID000002471,C0000731,CID000003937,1,1.288303256034851
CID000004409,C0000731,CID000006691,0,1.2855594158172607
CID000005656,C0000731,CID000083786,1,1.285457968711853
CID000002895,C0000731,CID005487301,1,1.2841300964355469
CID000002609,C0000731,CID000003957,0,1.284020185470581
CID000000942,C0000731,CID000004691,0,1.2817039489746094
CID000005002,C0000731,CID000005391,1,1.2806209325790405
CID000002022,C0000731,CID000002162,1,1.279632568359375
CID000003954,C0000731,CID000068740,1,1.2793138027191162
CID000003676,C0000731,CID000005514,1,1.2790234088897705
CID000003339,C0000731,CID000004873,1,1.278844952583313
CID000002771,C0000731,CID000004920,1,1.2771177291870117
CID000002471,C0000731,CID000003746,1,1.2756824493408203
CID000003121,C0000731,CID000004894,1,1.2753287553787231
CID000002520,C0000731,CID000003339,1,1.2752681970596313
CID000002764,C0000731,CID000003446,1,1.268468976020813
CID000004635,C0000731,CID000054374,1,1.2680604457855225
CID000002250,C0000731,CID000003385,0,1.266082525253296
CID000002477,C0000731,CID000003386,1,1.2628345489501953
CID000002118,C0000731,CID005487301,1,1.2550936937332153
CID000002666,C0000731,CID000004236,1,1.2544989585876465
CID000002162,C0000731,CID000005533,1,1.2540769577026367
CID000003325,C0000731,CID000004595,1,1.2536288499832153
CID000005732,C0000731,CID004183806,1,1.2528464794158936
CID000005002,C0000731,CID000005203,1,1.251955270767212
CID000001302,C0000731,CID000002662,1,1.2494771480560303
CID000005203,C0000731,CID000091270,1,1.248656988143921
CID000003559,C0000731,CID000004900,0,1.2477736473083496
CID000005523,C0000731,CID000005650,1,1.2475062608718872
CID000002462,C0000731,CID000004052,1,1.2437901496887207
CID000005656,C0000731,CID000054688,1,1.2427546977996826
CID000002171,C0000731,CID000003746,1,1.2399219274520874
CID000002554,C0000731,CID000060795,1,1.23930823802948
CID000002771,C0000731,CID000060953,1,1.2388460636138916
CID000003075,C0000731,CID000005035,1,1.2362380027770996
CID000002269,C0000731,CID000005002,1,1.2346093654632568
CID000001302,C0000731,CID000004091,1,1.2331397533416748
CID000003158,C0000731,CID000004900,1,1.233088493347168
CID000002909,C0000731,CID000004173,1,1.2324192523956299
CID000003075,C0000731,CID000062924,1,1.231270432472229
CID000004034,C0000731,CID000004259,1,1.2312076091766357
CID000004052,C0000731,CID000005002,1,1.228892207145691
CID000003339,C0000731,CID000004885,1,1.2273566722869873
CID000003957,C0000731,CID000170361,1,1.2264918088912964
CID000002585,C0000731,CID000130881,1,1.2256152629852295
CID000002308,C0000731,CID000006691,1,1.223817229270935
CID000002088,C0000731,CID000002676,0,1.2223484516143799
CID000002666,C0000731,CID000003158,1,1.2220882177352905
CID000002662,C0000731,CID000005029,1,1.2210547924041748
CID000000937,C0000731,CID000003440,1,1.2201766967773438
CID000003419,C0000731,CID000123620,0,1.2194362878799438
CID000002678,C0000731,CID000003062,1,1.2189429998397827
CID000002520,C0000731,CID000087177,1,1.2188159227371216
CID000005064,C0000731,CID000005544,1,1.2184700965881348
CID000004679,C0000731,CID000005073,1,1.2173106670379639
CID000001302,C0000731,CID000002678,1,1.2165008783340454
CID000003749,C0000731,CID000004259,1,1.2159092426300049
CID000001302,C0000731,CID000005039,1,1.215250015258789
CID000003746,C0000731,CID004183806,1,1.213881492614746
CID000004889,C0000731,CID000065999,0,1.213698387145996
CID000001302,C0000731,CID000002771,1,1.2135725021362305
CID000001983,C0000731,CID000005726,1,1.2126951217651367
CID000005005,C0000731,CID000060835,1,1.2118721008300781
CID000002520,C0000731,CID000065999,1,1.2099825143814087
CID000003899,C0000731,CID000004829,1,1.2089049816131592
CID000004205,C0000731,CID000004920,1,1.2065966129302979
CID000004829,C0000731,CID000005029,1,1.2048907279968262
CID000005732,C0000731,CID005353980,1,1.2028027772903442
CID000001983,C0000731,CID000005672,1,1.2026424407958984
CID000003676,C0000731,CID004475485,1,1.2006479501724243
CID000003003,C0000731,CID000004583,1,1.1989296674728394
CID000002520,C0000731,CID000003419,1,1.1988205909729004
CID000003958,C0000731,CID000005358,1,1.1981031894683838
CID000004173,C0000731,CID000087177,1,1.1963897943496704
CID000004411,C0000731,CID000006691,1,1.1955070495605469
CID000003405,C0000731,CID000123620,1,1.1937646865844727
CID000003310,C0000731,CID000038904,1,1.1931147575378418
CID000002311,C0000731,CID000005039,1,1.1904397010803223
CID000003333,C0000731,CID000003780,1,1.1891226768493652
CID000003639,C0000731,CID000024486,1,1.188546895980835
CID000004900,C0000731,CID000005245,1,1.1858458518981934
CID000004052,C0000731,CID006398525,1,1.181776523590088
CID000000450,C0000731,CID000125889,1,1.1802709102630615
CID000002802,C0000731,CID005487301,1,1.1797585487365723
CID000000450,C0000731,CID000002250,1,1.1782299280166626
CID000003143,C0000731,CID000003639,1,1.1727608442306519
CID000003780,C0000731,CID000005039,1,1.1714451313018799
CID000000838,C0000731,CID000003640,1,1.1712899208068848
CID000004679,C0000731,CID004183806,1,1.1688449382781982
CID000003003,C0000731,CID000003222,1,1.1666120290756226
CID000005090,C0000731,CID000060831,1,1.165998935699463
CID000002118,C0000731,CID000004829,1,1.1632819175720215
CID000002022,C0000731,CID000004253,1,1.16311776638031
CID000002269,C0000731,CID000004112,1,1.159566879272461
CID000002891,C0000731,CID000004917,1,1.1588656902313232
CID000004091,C0000731,CID000005064,1,1.1579411029815674
CID000004411,C0000731,CID000004679,1,1.1579325199127197
CID000002160,C0000731,CID000004171,1,1.1573764085769653
CID000003440,C0000731,CID000005267,1,1.1573411226272583
CID000000444,C0000731,CID000002171,1,1.1571613550186157
CID000002678,C0000731,CID000005412,1,1.15342378616333
CID000005533,C0000731,CID005311297,1,1.1532561779022217
CID000002802,C0000731,CID000005514,1,1.1505627632141113
CID000002806,C0000731,CID000024486,1,1.1501250267028809
CID000000444,C0000731,CID000001302,1,1.1481881141662598
CID000004170,C0000731,CID000060147,1,1.1467152833938599
CID000003075,C0000731,CID000005064,1,1.145811915397644
CID000002678,C0000731,CID000003749,1,1.1441729068756104
CID000002171,C0000731,CID000003345,1,1.1437642574310303
CID000002160,C0000731,CID000003658,1,1.1436206102371216
CID000003440,C0000731,CID000006691,1,1.1414480209350586
CID000004594,C0000731,CID000004616,1,1.140823483467102
CID000003003,C0000731,CID000006691,1,1.1368613243103027
CID000003003,C0000731,CID000003672,1,1.13679838180542
CID000003405,C0000731,CID000004595,1,1.13676118850708
CID000003715,C0000731,CID000054688,1,1.1361987590789795
CID000003003,C0000731,CID000005376,1,1.1346242427825928
CID000004917,C0000731,CID000119607,1,1.1341458559036255
CID000003003,C0000731,CID000005379,0,1.1302510499954224
CID000004635,C0000731,CID000005512,1,1.130124807357788
CID000000772,C0000731,CID000005203,1,1.1296237707138062
CID000002666,C0000731,CID000003899,1,1.128825306892395
CID000002764,C0000731,CID000004058,1,1.1260743141174316
CID000000450,C0000731,CID000028112,1,1.1252121925354004
CID000003672,C0000731,CID000004034,1,1.1236306428909302
CID000000298,C0000731,CID000002269,1,1.1230182647705078
CID000003075,C0000731,CID000005038,1,1.121741533279419
CID000004920,C0000731,CID000005203,1,1.1212589740753174
CID000003559,C0000731,CID000004946,1,1.1212270259857178
CID000004595,C0000731,CID000006691,1,1.1212012767791748
CID000003440,C0000731,CID000060865,1,1.1178057193756104
CID000002554,C0000731,CID000003161,1,1.115818738937378
CID000003348,C0000731,CID000003869,1,1.1147652864456177
CID000002269,C0000731,CID000003003,1,1.114701747894287
CID000002812,C0000731,CID000003883,1,1.1123825311660767
CID000002576,C0000731,CID000004595,1,1.112035870552063
CID000000838,C0000731,CID000004873,1,1.1119072437286377
CID000002658,C0000731,CID000004253,1,1.1106241941452026
CID000003661,C0000731,CID000005039,1,1.11057448387146
CID000000159,C0000731,CID000104865,1,1.1057785749435425
CID000003516,C0000731,CID000005650,1,1.1052991151809692
CID000003746,C0000731,CID000005544,1,1.101339340209961
CID000003661,C0000731,CID000004917,1,1.100343942642212
CID000002160,C0000731,CID000125889,1,1.0951602458953857
CID000002802,C0000731,CID000003746,1,1.0941053628921509
CID000005379,C0000731,CID000005523,1,1.092517614364624
CID000005650,C0000731,CID000093860,1,1.0914002656936646
CID000002269,C0000731,CID000004585,1,1.0905005931854248
CID000002171,C0000731,CID000003825,0,1.0898991823196411
CID000004168,C0000731,CID000004829,1,1.0891451835632324
CID000002909,C0000731,CID000003937,1,1.088304042816162
CID000004691,C0000731,CID000004920,1,1.0848040580749512
CID000002576,C0000731,CID000005029,1,1.0834678411483765
CID000005267,C0000731,CID000170361,1,1.0749809741973877
CID000002524,C0000731,CID000005029,1,1.0719066858291626
CID000004091,C0000731,CID000005095,0,1.0713170766830444
CID000002160,C0000731,CID005311297,1,1.0712131261825562
CID000104865,C0000731,CID003468412,1,1.0711759328842163
CID000005544,C0000731,CID000062924,1,1.0692415237426758
CID000003405,C0000731,CID000004889,1,1.0683015584945679
CID000004509,C0000731,CID000004634,1,1.0680657625198364
CID000003325,C0000731,CID000003386,1,1.0678153038024902
CID000000853,C0000731,CID000170361,1,1.0677601099014282
CID000002576,C0000731,CID000004510,1,1.0661604404449463
CID000004485,C0000731,CID000054688,1,1.0637810230255127
